recording_id,activity_group,activity_label,fall_event,risk_type,start_sample,end_sample,n_samples,imu_acceleration_peak_ms2,imu_acceleration_mean_ms2,imu_acceleration_std_ms2,gyro_peak_dps,gyro_mean_dps,body_angle_peak_deg,body_angle_mean_deg,worker_sway_proxy_ms2
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,0,99,100,11.14,10.0005,0.4085,82,24.81,20.0,16.75,2.0465
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,50,149,100,11.59,9.9352,0.6777,58,21.05,24.0,19.38,1.2362
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,100,199,100,11.59,9.4453,0.9064,59,24.96,24.0,19.87,1.7412
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,150,249,100,11.68,9.996,1.0822,59,18.01,23.0,17.89,1.1768
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,200,299,100,11.68,10.3597,0.6676,65,27.07,19.0,15.57,1.5664
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,250,349,100,11.46,9.8647,0.7441,100,41.38,19.0,13.62,1.6047
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,300,399,100,11.46,9.631,0.7621,100,32.76,16.0,13.15,0.9409
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,350,449,100,12.29,9.9942,0.8266,82,32.88,19.0,14.11,1.9783
Daily Activities/01.Going Upstairs.xlsx,daily_activity,going_upstairs,0,normal_activity,400,499,100,12.29,9.9456,0.9835,120,47.72,19.0,13.78,2.1814
Daily Activities/02.Going Downstairs.xlsx,daily_activity,going_downstairs,0,normal_activity,0,99,100,12.57,10.1387,1.3573,172,51.19,13.0,5.76,2.3941
Daily Activities/02.Going Downstairs.xlsx,daily_activity,going_downstairs,0,normal_activity,50,149,100,12.78,9.8604,1.464,172,39.5,10.0,5.71,1.8644
